Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","25.43","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","54.16","E","Estimated value",""
"RFN","Fertilizers by Nutrient","174","Comoros","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","0.39","E","Estimated value",""
"RFN","Fertilizers by Nutrient","174","Comoros","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","0.33","E","Estimated value",""
"RFN","Fertilizers by Nutrient","174","Comoros","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","0.33","E","Estimated value",""
"RFN","Fertilizers by Nutrient","178","Congo","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","3.2","E","Estimated value",""
"RFN","Fertilizers by Nutrient","178","Congo","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","1.6","E","Estimated value",""
"RFN","Fertilizers by Nutrient","178","Congo","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","3.1","E","Estimated value",""
"RFN","Fertilizers by Nutrient","184","Cook Islands","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","7.78","E","Estimated value",""
"RFN","Fertilizers by Nutrient","184","Cook Islands","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","5.9","E","Estimated value",""
"RFN","Fertilizers by Nutrient","184","Cook Islands","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","1.7","E","Estimated value",""
"RFN","Fertilizers by Nutrient","188","Costa Rica","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","133.2","E","Estimated value",""
"RFN","Fertilizers by Nutrient","188","Costa Rica","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","28.89","E","Estimated value",""
"RFN","Fertilizers by Nutrient","188","Costa Rica","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","74.88","E","Estimated value",""
"RFN","Fertilizers by Nutrient","384","Côte d'Ivoire","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","5.1","E","Estimated value",""
"RFN","Fertilizers by Nutrient","384","Côte d'Ivoire","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","4.67","E","Estimated value",""
"RFN","Fertilizers by Nutrient","384","Côte d'Ivoire","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","5.82","E","Estimated value",""
"RFN","Fertilizers by Nutrient","191","Croatia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","109.18","E","Estimated value",""
"RFN","Fertilizers by Nutrient","191","Croatia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","36.76","E","Estimated value",""
"RFN","Fertilizers by Nutrient","191","Croatia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","44.57","E","Estimated value",""
"RFN","Fertilizers by Nutrient","192","Cuba","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","11.24","E","Estimated value",""
"RFN","Fertilizers by Nutrient","192","Cuba","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","2.16","E","Estimated value",""
"RFN","Fertilizers by Nutrient","192","Cuba","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","7.49","E","Estimated value",""
"RFN","Fertilizers by Nutrient","196","Cyprus","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","55.44","E","Estimated value",""
"RFN","Fertilizers by Nutrient","196","Cyprus","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","35.58","E","Estimated value",""
"RFN","Fertilizers by Nutrient","196","Cyprus","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","31.24","E","Estimated value",""
"RFN","Fertilizers by Nutrient","203","Czechia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","122.67","E","Estimated value",""
"RFN","Fertilizers by Nutrient","203","Czechia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","14.32","E","Estimated value",""
"RFN","Fertilizers by Nutrient","203","Czechia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","8.75","E","Estimated value",""
